Status,Titre,Détails,Auteurs,Publication,Pages,Domaine,Langue,Maison d'édition,Format,Acheté chez,Date de l'ajout,Auteur 1,Etat,Auteur,Genre,Naissance,Mort,Pays,Pays 2,Continent,Country,Code
o,"Duchesse de Langeais, La ",0,"Balzac, Honoré de",1834.0,416,Roman,Français,Gallimard,Aucun,Aucun,2018-09-09,"Balzac, Honoré de",m,"Balzac, Honoré de",M,1799.0,1850.0,France,,Europe,France,FRA
o,Eugénie Grandet,0,"Balzac, Honoré de",1833.0,384,Roman,Français,Gallimard,Aucun,Aucun,2018-09-09,"Balzac, Honoré de",m,"Balzac, Honoré de",M,1799.0,1850.0,France,,Europe,France,FRA
o,"fille aux yeux d’or, La ",0,"Balzac, Honoré de",1835.0,416,Roman,Français,Gallimard,Aucun,Aucun,2018-09-09,"Balzac, Honoré de",m,"Balzac, Honoré de",M,1799.0,1850.0,France,,Europe,France,FRA
o,"Maison du Chat-qui-pelote, La ",0,"Balzac, Honoré de",1830.0,384,Roman,Français,Gallimard,Aucun,Aucun,2018-09-09,"Balzac, Honoré de",m,"Balzac, Honoré de",M,1799.0,1850.0,France,,Europe,France,FRA
o,"Médecin de campagne, Le ",0,"Balzac, Honoré de",1833.0,480,Roman,Français,Gallimard,Aucun,Aucun,2018-09-09,"Balzac, Honoré de",m,"Balzac, Honoré de",M,1799.0,1850.0,France,,Europe,France,FRA
o,"Peau de chagrin, La ",0,"Balzac, Honoré de",1831.0,448,Roman,Français,Gallimard,Aucun,Aucun,2018-09-09,"Balzac, Honoré de",m,"Balzac, Honoré de",M,1799.0,1850.0,France,,Europe,France,FRA
o,"Père Goriot, Le ",0,"Balzac, Honoré de",1835.0,448,Roman,Français,Gallimard,Aucun,Aucun,2018-09-09,"Balzac, Honoré de",m,"Balzac, Honoré de",M,1799.0,1850.0,France,,Europe,France,FRA
o,Petites misères de la vie conjugale,0,"Balzac, Honoré de",1830.0,273,Roman,Français,Gallimard,Aucun,Aucun,2018-09-09,"Balzac, Honoré de",m,"Balzac, Honoré de",M,1799.0,1850.0,France,,Europe,France,FRA
o,Physiologie du mariage,0,"Balzac, Honoré de",1829.0,448,Sociologie,Français,Gallimard,Aucun,Aucun,2018-09-09,"Balzac, Honoré de",m,"Balzac, Honoré de",M,1799.0,1850.0,France,,Europe,France,FRA
o,"ténébreuse affaire, Une ",0,"Balzac, Honoré de",1841.0,384,Roman,Français,Gallimard,Aucun,Aucun,2018-09-09,"Balzac, Honoré de",m,"Balzac, Honoré de",M,1799.0,1850.0,France,,Europe,France,FRA
o,"vendetta, La ",0,"Balzac, Honoré de",1830.0,128,Roman,Français,Gallimard,Aucun,Aucun,2018-09-09,"Balzac, Honoré de",m,"Balzac, Honoré de",M,1799.0,1850.0,France,,Europe,France,FRA
o,"assassinat du Pont-Rouge, L'",0,"Barbara, Charles",1855.0,122,Roman,Français,Bibebook,Aucun,Aucun,2022-04-24,"Barbara, Charles",m,"Barbara, Charles",M,1817.0,1866.0,France,,Europe,France,FRA
o,"Diaboliques, Les",0,"Barbey d’Aurevilly, Jules Amédée",1874.0,384,Nouvelle,Français,Bibebook,Aucun,Aucun,2022-04-24,"Barbey d’Aurevilly, Jules Amédée",m,"Barbey d’Aurevilly, Jules Amédée",M,1808.0,1889.0,France,,Europe,France,FRA
o,"ensorcelée, L'",0,"Barbey d’Aurevilly, Jules Amédée",1852.0,320,Roman,Français,Bibebook,Aucun,Aucun,2022-04-24,"Barbey d’Aurevilly, Jules Amédée",m,"Barbey d’Aurevilly, Jules Amédée",M,1808.0,1889.0,France,,Europe,France,FRA
o,"histoire sans nom, Une ",0,"Barbey d’Aurevilly, Jules Amédée",1882.0,288,Roman,Français,Bibebook,Aucun,Aucun,2022-04-24,"Barbey d’Aurevilly, Jules Amédée",m,"Barbey d’Aurevilly, Jules Amédée",M,1808.0,1889.0,France,,Europe,France,FRA
o,"enfer, L'",0,"Barbusse, Henri",221.0,1908,Roman,Français,Bibebook,Aucun,Aucun,2022-04-24,"Barbusse, Henri",m,"Barbusse, Henri",M,1873.0,1935.0,France,,Europe,France,FRA
o,"feu, Le ",0,"Barbusse, Henri",335.0,1916,Roman,Français,Bibebook,Aucun,Aucun,2022-04-24,"Barbusse, Henri",m,"Barbusse, Henri",M,1873.0,1935.0,France,,Europe,France,FRA
o,"prince blessé et autres nouvelles, Le",0,"Barjavel, René",1974.0,240,Nouvelle,Français,Gallimard,epub,Google Play,2021-07-17,"Barjavel, René",m,"Barjavel, René",M,1911.0,1985.0,France,,Europe,France,FRA
o,"chemins de Katmandou, Les",0,"Barjavel, René",1969.0,375,Roman,Français,Pocket,Papier,Librairie,2021-06-19,"Barjavel, René",m,"Barjavel, René",M,1911.0,1985.0,France,,Europe,France,FRA
o,"peau de César, La",0,"Barjavel, René",1985.0,242,Policier,Français,Gallimard,Introuvable,Z-Lib,2021-03-12,"Barjavel, René",m,"Barjavel, René",M,1911.0,1985.0,France,,Europe,France,FRA
o,"Grand Secret, Le ",0,"Barjavel, René",1973.0,193,Roman,Français,Presses de la Cité,epub,Chapitre,2018-10-21,"Barjavel, René",m,"Barjavel, René",M,1911.0,1985.0,France,,Europe,France,FRA
o,"nuit des temps, La ",0,"Barjavel, René",1968.0,310,Roman,Français,Presses de la Cité,epub,Chapitre,2018-03-27,"Barjavel, René",m,"Barjavel, René",M,1911.0,1985.0,France,,Europe,France,FRA
o,"charette bleue, La ",0,"Barjavel, René",1980.0,256,"Autobiographie, Littérature, XX, France",Français,Gallimard,epub,Chapitre,2015-04-27,"Barjavel, René",m,"Barjavel, René",M,1911.0,1985.0,France,,Europe,France,FRA
o,"tempête, La ",0,"Barjavel, René",1982.0,288,Roman,Français,Gallimard,epub,Chapitre,2015-04-27,"Barjavel, René",m,"Barjavel, René",M,1911.0,1985.0,France,,Europe,France,FRA
o,"faim du tigre, La ",0,"Barjavel, René",1966.0,224,Philosophie,Français,Gallimard,epub,Chapitre,2015-04-18,"Barjavel, René",m,"Barjavel, René",M,1911.0,1985.0,France,,Europe,France,FRA
o,"voyageur imprudent, Le ",0,"Barjavel, René",1944.0,256,Roman,Français,Gallimard,epub,Chapitre,2015-04-18,"Barjavel, René",m,"Barjavel, René",M,1911.0,1985.0,France,,Europe,France,FRA
